age,exercise,reps,duration_min,reps_per_min,met,value_type,source_baseline
19,squat,320,8.0,40.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
39,push-up,22,0.5,44.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
44,crunch,450,10.0,45.0,3.37,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
57,jumping_jack,30,3.0,10.0,3.97,estimated_synthetic,NCCOR Youth Compendium
43,squat,20,1.5,13.33,8.11,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
66,push-up,100,2.0,50.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
40,crunch,8,1.0,8.0,2.48,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
46,jumping_jack,408,8.0,51.0,5.53,estimated_synthetic,NCCOR Youth Compendium
24,squat,344,8.0,43.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
34,push-up,108,2.0,54.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
57,crunch,24,1.0,24.0,3.44,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
41,jumping_jack,33,3.0,11.0,4.2,estimated_synthetic,NCCOR Youth Compendium
66,squat,120,5.0,24.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
69,push-up,240,10.0,24.0,6.97,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
59,crunch,29,1.0,29.0,3.32,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
22,jumping_jack,24,1.5,16.0,4.41,estimated_synthetic,NCCOR Youth Compendium
67,squat,24,2.0,12.0,6.28,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
61,push-up,10,0.5,20.0,6.22,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
39,crunch,408,8.0,51.0,3.42,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
36,jumping_jack,42,1.0,42.0,5.25,estimated_synthetic,NCCOR Youth Compendium
61,squat,49,1.0,49.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
15,push-up,328,8.0,41.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
30,crunch,280,8.0,35.0,3.34,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
40,jumping_jack,6,0.5,12.0,4.39,estimated_synthetic,NCCOR Youth Compendium
39,squat,200,5.0,40.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
41,push-up,24,0.5,48.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
46,crunch,24,3.0,8.0,2.66,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
46,jumping_jack,12,3.0,4.0,3.82,estimated_synthetic,NCCOR Youth Compendium
70,squat,19,1.0,19.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
37,push-up,8,0.5,16.0,6.59,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
62,crunch,84,1.5,56.0,3.47,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
31,jumping_jack,35,1.0,35.0,5.0,estimated_synthetic,NCCOR Youth Compendium
70,squat,130,5.0,26.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
37,push-up,18,1.5,12.0,5.86,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
20,crunch,24,0.5,48.0,3.45,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
55,jumping_jack,60,5.0,12.0,4.17,estimated_synthetic,NCCOR Youth Compendium
67,squat,31,1.0,31.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
53,push-up,25,1.0,25.0,8.45,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
53,crunch,190,5.0,38.0,3.26,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
35,jumping_jack,14,1.5,9.33,3.93,estimated_synthetic,NCCOR Youth Compendium
35,squat,310,10.0,31.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
54,push-up,472,8.0,59.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
29,crunch,240,5.0,48.0,3.38,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
40,jumping_jack,4,0.5,8.0,3.98,estimated_synthetic,NCCOR Youth Compendium
22,squat,86,2.0,43.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
26,push-up,288,8.0,36.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
40,crunch,32,8.0,4.0,2.29,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
57,jumping_jack,140,5.0,28.0,4.73,estimated_synthetic,NCCOR Youth Compendium
22,squat,24,3.0,8.0,4.8,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
51,push-up,216,8.0,27.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
25,crunch,26,2.0,13.0,2.92,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
33,jumping_jack,40,5.0,8.0,3.85,estimated_synthetic,NCCOR Youth Compendium
59,squat,20,1.0,20.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
66,push-up,46,2.0,23.0,6.83,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
31,crunch,6,0.5,12.0,2.72,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
68,jumping_jack,96,2.0,48.0,5.56,estimated_synthetic,NCCOR Youth Compendium
30,squat,82,2.0,41.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
42,push-up,36,1.0,36.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
60,crunch,87,1.5,58.0,3.36,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
33,jumping_jack,224,8.0,28.0,4.71,estimated_synthetic,NCCOR Youth Compendium
35,squat,24,8.0,3.0,2.38,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
65,push-up,52,1.5,34.67,8.3,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
52,crunch,45,5.0,9.0,2.67,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
30,jumping_jack,225,5.0,45.0,5.34,estimated_synthetic,NCCOR Youth Compendium
32,squat,19,0.5,38.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
66,push-up,5,1.0,5.0,3.96,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
45,crunch,30,1.5,20.0,3.38,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
61,jumping_jack,210,10.0,21.0,4.62,estimated_synthetic,NCCOR Youth Compendium
50,squat,58,1.5,38.67,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
43,push-up,570,10.0,57.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
44,crunch,10,0.5,20.0,3.17,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
39,jumping_jack,54,1.0,54.0,5.88,estimated_synthetic,NCCOR Youth Compendium
62,squat,150,10.0,15.0,7.78,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
65,push-up,42,2.0,21.0,6.48,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
33,crunch,130,5.0,26.0,3.44,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
35,jumping_jack,230,5.0,46.0,5.39,estimated_synthetic,NCCOR Youth Compendium
15,squat,570,10.0,57.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
28,push-up,26,0.5,52.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
56,crunch,24,1.0,24.0,3.29,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
48,jumping_jack,30,1.5,20.0,4.55,estimated_synthetic,NCCOR Youth Compendium
32,squat,310,10.0,31.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
43,push-up,30,10.0,3.0,3.57,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
30,crunch,4,1.0,4.0,2.13,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
52,jumping_jack,48,1.5,32.0,4.74,estimated_synthetic,NCCOR Youth Compendium
57,squat,81,3.0,27.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
26,push-up,22,0.5,44.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
61,crunch,28,1.0,28.0,3.45,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
